Abstract,Article Classification
"In this study, through virtual screening and <i>in vitro</i> bioactivity assays, we discovered that (-)-epicatechin gallate (ECG), a polyphenol compound extracted from green tea, demonstrated marked anti-Ser/Thr phosphatase (Stp1) activity towards <i>Staphylococcus aureus</i> (<i>S. aureus</i>) with an IC<sub>50</sub> value of 8.35 μM. By targeting <i>S. aureus</i> Stp1, ECG prevented the up-regulation of virulence gene and the formation of antibody membrane and protected the mice from <i>S. aureus</i> infection. Through MD simulation, the allosteric inhibitory mechanism of ECG on Stp1 was determined. The Stp1-ECG complex model underwent a significant change in conformation; its flap subdomain changed from opening to closing, whereas Stp1 activity was lost when bound to ECG. In addition, the MD simulation results of Stp1 and several tea polyphenol compounds showed that gallate groups and fewer adjacent phenolic hydroxyl groups contributed to the binding of Stp1 and inhibitors. As an inhibitor targeting <i>S. aureus</i> Stp1, ECG reduced the pathogenicity of <i>S. aureus</i> without inhibiting <i>S. aureus</i>, which largely reduced the possibility of drug resistance. Our findings demonstrated a novel molecular mechanism of green tea as the usual drink against <i>S. aureus</i> infection and elucidated the future design of allosteric inhibitors targeting Stp1.",0
"There is an increasing interest in the use of automation in plant production settings. Here, we employed a robotic platform to induce controlled mechanical stimuli (CMS) aiming to improve basil quality. Semi-targeted UHPLC-qToF-MS analysis of organic acids, amino acids, phenolic acids, and phenylpropanoids revealed changes in basil secondary metabolism under CMS, which appear to be associated with changes in taste, as revealed by different means of sensory evaluation (overall liking, check-all-that-apply, and just-about-right analysis). Further network analysis combining metabolomics and sensory data revealed novel links between plant metabolism and sensory quality. Amino acids and organic acids including maleic acid were negatively associated with basil quality, while increased levels of secondary metabolites, particularly linalool glucoside, were associated with improved basil taste. In summary, by combining metabolomics and sensory analysis we reveal the potential of automated CMS on crop production, while also providing new associations between plant metabolism and sensory quality.",0
"Citrin deficiency (CD) is an inborn error of metabolism caused by loss-of-function of the mitochondrial aspartate/glutamate transporter, CITRIN, which is involved in both the urea cycle and malate-aspartate shuttle. Patients with CD develop hepatosteatosis and hyperammonemia but there is no effective therapy for CD. Currently, there are no animal models that faithfully recapitulate the human CD phenotype. Accordingly, we generated a CITRIN knockout HepG2 cell line using Clustered Regularly Interspaced Short Palindromic Repeats/Cas 9 genome editing technology to study metabolic and cell signaling defects in CD. CITRIN KO cells showed increased ammonia accumulation, higher cytosolic ratio of reduced versus oxidized form of nicotinamide adenine dinucleotide (NAD) and reduced glycolysis. Surprisingly, these cells showed impaired fatty acid metabolism and mitochondrial activity. CITRIN KO cells also displayed increased cholesterol and bile acid metabolism resembling those observed in CD patients. Remarkably, normalizing cytosolic NADH:NAD+ ratio by nicotinamide riboside increased glycolysis and fatty acid oxidation but had no effect on the hyperammonemia suggesting the urea cycle defect was independent of the aspartate/malate shuttle defect of CD. The correction of glycolysis and fatty acid metabolism defects in CITRIN KO cells by reducing cytoplasmic NADH:NAD+ levels suggests this may be a novel strategy to treat some of the metabolic defects of CD and other mitochondrial diseases.",0
"Due to the high sugar content of Mopan persimmon, which has an annual output of more than 0.5 million tons in China, it can be processed to make fruit wine. In this study, a strain of yeast screened from different persimmon samples was used for persimmon wine fermentation. The optimal conditions of persimmon wine fermentation were determined through single-factor experiments as follows: Yeast addition of 0.08 g/kg; a fermentation temperature of 28 °C; sucrose addition of 18%; and pectinase addition of 0.01%. Under these conditions, the alcohol content of persimmon wine reached 12.9%. The addition of pectinase during persimmon wine fermentation was found to decompose pectin at high speed, reduce the viscosity of the fermentation liquid, increase the dissolved oxygen content in the fermentation liquid, promote the growth and reproduction of yeast, and effectively convert the sugars into alcohol. After fermentation, alcohol, residual sugars, and total phenolic content with or without pectinase treatment were 12.9 and 4.4%, 2.2 and 13.4 g/L, and 738.7 and 302 µg/mL, respectively. Scanning electron microscopy (SEM) results showed that compared with the mash without pectinase treatment, the mash with pectinase had a larger network structure and more pores and yeasts.",0
Preconception optimization of thyroid function in women with Hashimoto thyroiditis (HT) is highly recommended to prevent/reduce the risk of thyroid insufficiency at early gestation.,1
"The goal of this study was to compare the mechanical properties of experimental resin dental composites containing a conventional photoinitiating system (camphorquinone CQ and 2-(dimethylami-no)ethyl methacrylate (DMAEMA)) to a photoinitiator system containing 1-phenyl-1,2 propanedione (PPD) with 2-(dimethylami-no)ethyl methacrylate) or acting alone phenylbis(2,4,6-trimethylbenzoyl)-phosphine oxide (BAPO). The manually produced composites consisted of an organic matrix: bis-GMA (60 wt. %), TEGDMA (40 wt. %), and silanized silica filler (45 wt. %). The composites contained 0.4/0.8 wt. %, 0.8/1.6 wt. %, and 1/2 wt. % of PPD/DMAEMA and another group included 0.25, 0.5, or 1 wt. % of BAPO. Vickers hardness, microhardness (in the nanoindentation test), diametral tensile strength, and flexural strength were assessed, and CIE L* a* b* colorimetric analysis was conducted for each composite produced. The highest average Vickers hardness values were obtained for the composite containing 1 wt. % BAPO (43.73 ± 3.52 HV). There was no statistical difference in the results of diametral tensile strength for the experimental composites tested. The results of 3-point bending tests were the highest for composites containing CQ (77.3 ± 8.84 MPa). Despite the higher hardness of experimental composites including PPD or BAPO, compared with composites with CQ, the overall results indicate that the composite with CQ still represents a better solution when used as a photoinitiator system. Moreover, the composites containing PPD and DMAEMA are not promising in terms of color or mechanical properties, especially as they require significantly longer irradiation times.",0
"Surgical pleth index (SPI) monitoring is a representative objective nociception monitoring device that measures nociception using photoplethysmographic signals. It is easy to apply to patients, and the numerical calculation formula is intuitively easy to understand; therefore, its clinical interpretation is easy. Its efficacy and usefulness have been demonstrated in several studies. The SPI detects the degree of nociception during surgery under general anesthesia better than hemodynamic parameter, thereby better guiding the administration of various opioids, including remifentanil, fentanyl, and sufentanil. Compared with conventional analgesia, SPI-guided analgesia usually reduces intraoperative opioid consumption, facilitates patient recovery, and provides comparable or reduced postoperative pain and adverse events. In addition, SPI monitoring makes it possible to predict the degree of postoperative pain and analgesic requirements through the SPI values immediately before patient arousal. However, because the patient's age, effective circulating volume, posture, concomitant medication and anesthetic administration, and level of consciousness may function as confounding factors in SPI monitoring, clinicians must be careful when interpreting SPI values. In addition, as the SPI value can differ depending on the anesthetic and analgesic management or the patient's underlying disease, it is necessary to be aware of their effects and understand the advantages and disadvantages of SPI monitoring compared to other nociception monitoring devices. Overall, this review aimed to help anesthesiologists perform optimal SPI-guided analgesia in the clinical field and establish future research designs by suggesting the usefulness and limitations of SPI monitoring in perioperative pain management.",0
"Linezolid is an oxazolidin commonly related to the development of hematological toxicity, being renal clearance the major factor involved in the drug clearance. The aim of this study is to evaluate the influence of increased filtration rates in the incidence of linezolid-induced hematological toxicity by comparing augmented renal clearance (ARC) patients versus normal renal function patients.",1
"<i>Klebsiella michiganensis</i> is an emerging hospital-acquired bacterial pathogen. However, there is a dearth of knowledge on the antimicrobial resistance and transmission of <i>K. michiganensis</i>. Here, we characterized the microbiological and genomic features of a carbapenem-resistant <i>K. michiganensis</i> strain harboring the <i>bla</i><sub>NDM-1</sub> gene in China.",0
"A 34-year-old female who was recently placed on anti-tuberculosis medication with rifampin, isoniazid, pyrazinamide, and levofloxacin therapy for suspected tuberculosis reinfection presented with subjective fevers, rash, and generalized fatigue. Labs showed signs of end-organ damage with eosinophilia and leukocytosis. One day later, the patient became hypotensive with a worsening fever, and an electrocardiogram showed new diffuse ST segment elevations with an elevated troponin. An echocardiogram revealed a reduction in ejection fraction with diffuse hypokinesis, and cardiac magnetic resonance imaging (MRI) showed circumferential myocardial edema with subepicardial and pericardial inflammation. Prompt diagnosis of drug reaction with eosinophilia and systemic symptoms (DRESS) syndrome using the European Registry of Severe Cutaneous Adverse Reaction (RegiSCAR) criteria and discontinuation of therapy was initiated. Due to the hemodynamic instability of the patient, the patient was started on systemic corticosteroids and cyclosporine, with the improvement of her symptoms and rash. A skin biopsy was performed, which revealed perivascular lymphocytic dermatitis, consistent with DRESS syndrome. As the patient's ejection fraction improved spontaneously with corticosteroids, the patient was discharged with oral corticosteroids, and a repeat echocardiogram showed full recovery of ejection fraction. Perimyocarditis is a rare complication of DRESS syndrome that is associated with degranulation and the release of cytotoxic agents into myocardial cells. Early discontinuation of offending agents and initiation of corticosteroids are essential to rapid recovery of ejection fraction and improved clinical outcomes. Multimodality imaging, including MRI, should be used to confirm perimyocardial involvement and guide the necessity for mechanical support or transplant. Further research should be on the mortality of DRESS syndrome with and without myocardial involvement, with an increased emphasis on cardiac evaluation in DRESS syndrome.",1
 The primary aim of this study was to examine the United States Preventative Services Task Force (USPSTF) guidelines concordant low-dose aspirin (LDA) counseling and factors associated with counseling in nulliparous birthing individuals.,0
"Sulfuryl fluoride is a gas produced on a multi-ton scale for its use as a fumigant. In the last decades, it has gained interest in organic synthesis as a reagent with unique properties in terms of stability and reactivity when compared to other sulfur-based reagents. Sulfuryl fluoride has not only been used for sulfur-fluoride exchange (SuFEx) chemistry but also encountered applications in classic organic synthesis as an efficient activator of both alcohols and phenols, forming a triflate surrogate, namely a fluorosulfonate. A long-standing industrial collaboration in our research group drove our work on the sulfuryl fluoride-mediated transformations that will be highlighted below. We will first describe recent works on metal-catalyzed transformations from aryl fluorosulfonates while emphasizing the one-pot processes from phenol derivatives. In a second section, nucleophilic substitution reactions on polyfluoroalkyl alcohols will be discussed and the value of polyfluoroalkyl fluorosulfonates in comparison to alternative triflate and halide reagents will be brought to light.",0
Acute low back pain (LBP) is a common complaint in the emergency department and achieving effective analgesia can be challenging.,1
"Described herein are studies toward the core modification of cyclic aliphatic amines using either a riboflavin/photo-irradiation approach or Cu(I) and Ag(I) to mediate the process. Structural remodeling of cyclic amines is explored through oxidative C-N and C-C bond cleavage using peroxydisulfate (persulfate) as an oxidant. Ring-opening reactions to access linear aldehydes or carboxylic acids with flavin-derived photocatalysis or Cu salts, respectively, are demonstrated. A complementary ring-opening process mediated by Ag(I) facilitates decarboxylative Csp<sup>3</sup>-Csp<sup>2</sup> coupling in Minisci-type reactions through a key alkyl radical intermediate. Heterocycle interconversion is demonstrated through the transformation of N-acyl cyclic amines to oxazines using Cu(II) oxidation of the alkyl radical. These transformations are investigated by computation to inform the proposed mechanistic pathways. Computational studies indicate that persulfate mediates oxidation of cyclic amines with concomitant reduction of riboflavin. Persulfate is subsequently reduced by formal hydride transfer from the reduced riboflavin catalyst. Oxidation of the cyclic aliphatic amines with a Cu(I) salt is proposed to be initiated by homolysis of the peroxy bond of persulfate followed by α-HAT from the cyclic amine and radical recombination to form an α-sulfate adduct, which is hydrolyzed to the hemiaminal. Investigation of the pathway to form oxazines indicates a kinetic preference for cyclization over more typical elimination pathways to form olefins through Cu(II) oxidation of alkyl radicals.",0
"Antiphospholipid syndrome (APS) is an acquired hypercoagulable state necessitating long-term anticoagulation for secondary thrombosis prevention. Anticoagulation guidelines are predominantly based on data in high risk, triple positive patients, and favor Vitamin K antagonists over other forms of anticoagulation. The efficacy of alternative anticoagulants for secondary thrombosis prevention in low risk, single and double positive APS remains uncertain. This study aimed to assess the incidence of recurrent thrombosis and major bleeding for patient with low risk APS on long-term anticoagulation. We performed a retrospective cohort study of patients who met revised criteria for thrombotic APS between January, 2001 and April, 2021 and received care through the Lifespan Health System. Primary outcomes included recurrent thrombosis and WHO Grades 3 and 4 major bleeding. A total of 190 patients were followed over a median duration of 3.1 years. At time of APS diagnosis, 89 patients were treated with warfarin and 59 patients with a direct oral anticoagulant (DOAC). There were similar rates of recurrent thrombosis in low risk patients on warfarin versus DOACs (adjusted IRR 6.91; 95% CI 0.90-53.40, p = 0.064). Major bleeding events only occurred in low risk patients on warfarin (n = 8, log-rank p = 0.13). In conclusion, despite the choice of anticoagulation, patients with low risk APS had similar rates of recurrent thrombosis suggesting DOACs may be a potential treatment option for this cohort. There was a non-significant increase in major bleeding rates in low risk patients on warfarin versus DOACs. Study limitations include a retrospective study design and small event numbers.",1
"Breast cancer (BC) cells often develop multiple mechanisms of chemo- and radio-resistance during tumor progression, which is the major reason for the failure of breast cancer therapy. Targeted nanomedicines have tremendous therapeutic potential in BC treatment over their free drug counterparts. Searching for chemo- and radio-sensitizers to overcome such resistance is therefore urgently required. The goal of this study is to evaluate and compare the radio-sensitizer efficacy of amygdalin-folic acid nanoparticles (Amy-F) on MCF-7 and MDA-MB-231 cells.",0
"The aim of this research work is to improve the mechanical and water-resistance properties of soy protein isolate (SPI) biofilm. In this work, 3-aminopropyltriethoxysilane (APTES) coupling-agent modified nanocellulose was introduced into the SPI matrix in the presence of citric acid cross-linker. The presence of amino groups in APTES facilitated the formation of - cross-linked structures with soy protein. The incorporation of a citric acid cross-linker made the cross-linking process more productive, and the surface smoothness of the film was confirmed by a Scanning Electron Microscope (FE-SEM). From the study of the mechanical and thermal properties and water resistance of the film, it was confirmed that the results were highly satisfactory for the modified nanocellulose-incorporated film compared to the non-modified one. Additionally, coating of citral essential oil onto SPI nanocomposite film displayed antimicrobial properties due to the presence of various phenolic groups in the citral oil. The Tensile Strength and Young's Modulus of silane-modified nanocellulose containing film were enhanced by ∼119 % and ∼ 112 %, respectively on incorporation of 1 % APTES-modified nanocellulose. Consequently, this work is expected to offer an effective way for silylated nano-cellulose reinforcing soy protein isolate (SPI)-based bio nanocomposite films for packaging applications. As an example, we have demonstrated one of the applications as wrapping films for packing black grapes.",0
"Haloperidol can be used off-label for agitation and/or delirium in older individuals. The recommended initial intramuscular or intravenous dose is 0.5 to 1 mg. However, the evidence to support these doses is nominal.",1
"Accumulating evidence has implicated the role of neuroinflammation in the pathology of autism spectrum disorder (ASD), a neurodevelopmental disorder.",1
Paracetamol is commonly used for analgesia and patent ductus arteriosus (PDA) treatment in preterm infants. We aimed to evaluate early neurodevelopmental outcomes of extreme preterm infants exposed to paracetamol during their neonatal admission.,1
